patinho_feio_cpu_device prog_8bit
czk80_state czk80_io
proteus3_state proteus3_mem
midqslvr_state midqslvr_map
midqslvr_state midqslvr_io
dynax_state cdracula_mem_map
dynax_state sprtmtch_mem_map
dynax_state hnoridur_mem_map
dynax_state mcnpshnt_mem_map
dynax_state nanajign_mem_map
dynax_state mjdialq2_mem_map
dynax_state yarunara_mem_map
dynax_state quiztvqq_mem_map
dynax_state jantouki_mem_map
dynax_state jantouki_sound_mem_map
dynax_state hnoridur_banked_map
dynax_state mjelctrn_banked_map
dynax_state nanajign_banked_map
dynax_state yarunara_banked_map
dynax_state mjangels_banked_map
dynax_state hanamai_io_map
dynax_state hnoridur_io_map
dynax_state hjingi_mem_map
dynax_state hjingi_banked_map
dynax_state hjingi_io_map
dynax_state yarunara_io_map
dynax_state mcnpshnt_io_map
dynax_state sprtmtch_io_map
dynax_state mjfriday_io_map
dynax_state nanajign_io_map
dynax_state jantouki_io_map
dynax_state jantouki_sound_io_map
dynax_state mjelctrn_io_map
dynax_state mjembase_io_map
dynax_state tenkai_map
dynax_state tenkai_banked_map
dynax_state gekisha_map
dynax_state gekisha_banked_map
dynax_state cdracula_io_map
plus4_state plus4_mem
plus4_state ted_videoram_map
eacc_state eacc_mem
hapyfish_state hapyfish_map
ravens_state ravens_mem
ravens_state ravens_io
ravens_state ravens2_io
gridcomp_state grid1101_map
gridcomp_state grid1121_map
gridcomp_state grid1101_io
wmg_state wmg_cpu1
wmg_state wmg_cpu2
powerins_state powerins_map
powerins_state powerinsa_map
powerins_state powerins_sound_map
powerins_state powerins_sound_io_map
powerins_state powerinsb_sound_io_map
powerins_state powerinsa_oki_map
acrnsys1_state acrnsys1_map
warpspeed_state warpspeed_map
warpspeed_state warpspeed_io_map
spectrum_state ts2068_io
spectrum_state ts2068_mem
spectrum_state tc2048_io
spectrum_state tc2048_mem
wpc_95_state wpc_95_map
argo_state mem_map
argo_state io_map
sc2_state sc2_mem
sc2_state sc2_io
system1_state system1_map
system1_state decrypted_opcodes_map
system1_state banked_decrypted_opcodes_map
system1_state nobo_map
system1_state system1_ppi_io_map
system1_state system1_pio_io_map
system1_state sound_map
system1_state mcu_io_map
system1_state nob_mcu_io_map
fromanc2_state fromanc2_main_map
fromanc2_state fromancr_main_map
fromanc2_state fromanc4_main_map
fromanc2_state fromanc2_sub_map
fromanc2_state fromanc2_sub_io_map
fromanc2_state fromanc2_sound_map
fromanc2_state fromanc2_sound_io_map
cxhumax_state cxhumax_map
poker72_state poker72_map
labyrunr_state labyrunr_map
caprcyc_state caprcyc_map
uzebox_state uzebox_prg_map
uzebox_state uzebox_data_map
uzebox_state uzebox_io_map
suprgolf_state suprgolf_map
suprgolf_state io_map
albazc_state hanaroku_map
goldngam_state swisspkr_map
goldngam_state moviecrd_map
minitel_state mem_prg
minitel_state mem_io
mmm_state mem_map
mmm_state io_map
mpu5_state mpu5_map
gamecstl_state gamecstl_map
gamecstl_state gamecstl_io
zodiack_state main_map
zodiack_state sound_map
zodiack_state io_map
mac128_state mac512ke_map
mac128_state macplus_map
subhuntr_state subhuntr_map
subhuntr_state subhuntr_io_map
subhuntr_state subhuntr_data_map
pk8020_state pk8020_mem
pk8020_state pk8020_io
hp85_state cpu_mem_map
hp85_state rombank_mem_map
psychic5_state psychic5_main_map
psychic5_state psychic5_vrambank_map
psychic5_state psychic5_sound_map
psychic5_state psychic5_soundport_map
psychic5_state bombsa_main_map
psychic5_state bombsa_sound_map
psychic5_state bombsa_soundport_map
psychic5_state bombsa_vrambank_map
bbusters_state bbusters_map
bbusters_state mechatt_map
bbusters_state sound_map
bbusters_state sound_portmap
bbusters_state sounda_portmap
irisha_state irisha_mem
irisha_state irisha_io
mgavegas_state mgavegas_map
pc2000_state pc2000_mem
pc2000_state pc2000_io
gl3000s_state gl3000s_io
pc1000_state pc1000_mem
pc1000_state pc1000_io
rastan_state rastan_map
rastan_state rastan_s_map
wpc_flip2_state wpc_flip2_map
sgi_ip2_state sgi_ip2_map
airraid_state airraid_map
airraid_state decrypted_opcodes_map
airraid_state airraid_sound_map
airraid_state airraid_sound_decrypted_opcodes_map
systec_state systec_mem
systec_state systec_io
cupidon_state cupidon_map
ti68k_state ti92_mem
ti68k_state ti89_mem
ti68k_state ti92p_mem
ti68k_state v200_mem
ti68k_state ti89t_mem
mes_state mem_map
mes_state io_map
ampro_state ampro_mem
ampro_state ampro_io
kickgoal_state kickgoal_program_map
kickgoal_state oki_map
tattack_state tattack_map
tandy2k_state tandy2k_mem
tandy2k_state tandy2k_io
tandy2k_state tandy2k_hd_io
tandy2k_state vpac_mem
namcond1_state namcond1_map
namcond1_state abcheck_map
namcond1_state nd1h8rwmap
namcond1_state nd1h8iomap
sangho_state sangho_map
sangho_state pzlestar_io_map
sangho_state sexyboom_io_map
yunsun16_state main_map
yunsun16_state sound_map
yunsun16_state sound_port_map
yunsun16_state oki_map
trvmadns_state cpu_map
trvmadns_state io_map
sym1_state sym1_map
submar_state submar_map
submar_state submar_portmap
bbc_state bbca_mem
bbc_state bbc_base
bbc_state bbcb_mem
bbc_state bbcb_nofdc_mem
bbc_state bbcbp_mem
bbc_state bbcbp128_mem
bbc_state reutapm_mem
bbc_state bbcm_mem
tti_state prg_map
lisa_state lisa_map
lisa_state lisa_fdc_map
lisa_state lisa210_fdc_map
poly88_state poly88_mem
poly88_state poly88_io
poly88_state poly8813_mem
poly88_state poly8813_io
galaxy_state galaxyp_io
galaxy_state galaxy_mem
galaxy_state galaxyp_mem
mephisto_polgar_state polgar_mem
mephisto_risc_state mrisc_mem
mephisto_risc_state mrisc_arm_mem
mephisto_milano_state milano_mem
mephisto_modena_state modena_mem
mephisto_academy_state academy_mem
channelf_state channelf_map
channelf_state channelf_io
cesclassic_state cesclassic_map
yiear_state main_map
yiear_state vlm_map
dynduke_state master_map
dynduke_state slave_map
dynduke_state masterj_map
dynduke_state sound_map
dynduke_state sound_decrypted_opcodes_map
dynduke_state sei80bu_encrypted_full_map
tandy1000_state tandy1000_map
tandy1000_state tandy1000_io
tandy1000_state tandy1000_bank_map
tandy1000_state biosbank_map
tandy1000_state tandy1000_16_io
tandy1000_state tandy1000_bank_io
tandy1000_state tandy1000tx_io
tandy1000_state tandy1000_286_map
bogeyman_state bogeyman_map
by35_state by35_map
by35_state nuovo_map
turbo_state turbo_map
turbo_state subroc3d_map
turbo_state buckrog_map
turbo_state decrypted_opcodes_map
turbo_state buckrog_cpu2_map
turbo_state buckrog_cpu2_portmap
hunter2_state hunter2_banked_mem
hunter2_state hunter2_mem
hunter2_state hunter2_io
rotaryf_state rotaryf_map
rotaryf_state rotaryf_io_map
craft_state craft_prg_map
craft_state craft_data_map
craft_state craft_io_map
pce_state pce_mem
pce_state pce_io
pce_state sgx_mem
pce_state sgx_io
snesb_state snesb_map
snesb_state spc_mem
snesb_state mcu_io_map
xain_state bootleg_map
xain_state main_map
xain_state cpu_map_B
xain_state sound_map
bankp_state bankp_map
bankp_state bankp_io_map
jongkyo_state jongkyo_memmap
jongkyo_state decrypted_opcodes_map
jongkyo_state jongkyo_portmap
klax_state klax_map
klax_state klax2bl_map
klax_state bootleg_sound_map
galspnbl_state main_map
galspnbl_state audio_map
prodigy_state maincpu_map
tigeroad_state main_map
pushman_state pushman_map
pushman_state bballs_map
tigeroad_state sound_map
tigeroad_state sound_port_map
tigeroad_state sample_map
tigeroad_state sample_port_map
tigeroad_state comad_sound_map
tigeroad_state comad_sound_io_map
airbustr_state master_map
airbustr_state master_io_map
airbustr_state slave_map
airbustr_state slave_io_map
airbustr_state sound_map
airbustr_state sound_io_map
dauphin_state dauphin_mem
dauphin_state dauphin_io
rt1715_state rt1715_mem
rt1715_state rt1715_io
rt1715_state k7658_mem
rt1715_state k7658_io
ct486_state ct486_map
ct486_state ct486_io
play_1_state play_1_map
play_1_state chance_map
play_1_state play_1_io
sfkick_state sfkick_map
sfkick_state sfkick_io_map
sfkick_state sfkick_sound_map
sfkick_state sfkick_sound_io_map
snk68_state pow_map
snk68_state searchar_map
snk68_state sound_map
snk68_state sound_io_map
omegrace_state main_map
omegrace_state port_map
omegrace_state sound_map
omegrace_state sound_port
z1013_state z1013_mem
z1013_state z1013_io
tugboat_state main_map
quizshow_state mem_map
wecleman_state wecleman_map
wecleman_state hotchase_map
wecleman_state wecleman_sub_map
wecleman_state hotchase_sub_map
wecleman_state wecleman_sound_map
wecleman_state hotchase_sound_map
glass_state mcu_hostmem_map
glass_state glass_map
glass_state oki_map
c900_state mem_map
c900_state data_map
c900_state io_map
tg100_state tg100_map
tg100_state tg100_io_map
tg100_state ymw258_map
liberatr_state liberatr_map
liberatr_state liberat2_map
su2000_state pcat_map
su2000_state pcat_io
tecnbras_state i80c31_prg
tecnbras_state i80c31_io
v1050_state v1050_mem
v1050_state v1050_io
v1050_state v1050_crt_mem
ssozumo_state ssozumo_map
ssozumo_state ssozumo_sound_map
radio86_state radio86_mem
radio86_state radio86_io
radio86_state rk7007_io
radio86_state radio86rom_mem
radio86_state radio86ram_mem
radio86_state radio86_16_mem
radio86_state mikron2_mem
radio86_state impuls03_mem
qvt6800_state qvt102_mem_map
qvt6800_state qvt190_mem_map
mephisto_montec_state montec_mem
mephisto_montec_state megaiv_mem
mephisto_montec_state smondial2_mem
mephisto_montec_state smondial_mem
mephisto_montec_state mondial2_mem
snk6502_state sasuke_map
snk6502_state satansat_map
snk6502_state vanguard_map
snk6502_state fantasy_map
snk6502_state pballoon_map
atarisy2_state main_map
atarisy2_state sound_map
marywu_state program_map
marywu_state io_map
shtzone_state shtzone_map
pentagon_state pentagon_mem
pentagon_state pentagon_io
pentagon_state pentagon_switch
pipedrm_state main_map
pipedrm_state main_portmap
pipedrm_state sound_map
pipedrm_state sound_portmap
pipedrm_state hatris_sound_portmap
oric_state oric_mem
telestrat_state telestrat_mem
dbox_state dbox_map
tmnt_state cuebrick_main_map
tmnt_state mia_main_map
tmnt_state tmnt_main_map
tmnt_state punkshot_main_map
tmnt_state lgtnfght_main_map
tmnt_state blswhstl_main_map
tmnt_state glfgreat_main_map
tmnt_state prmrsocr_main_map
tmnt_state tmnt2_main_map
tmnt_state ssriders_main_map
tmnt_state sunsetbl_main_map
tmnt_state thndrx2_main_map
tmnt_state mia_audio_map
tmnt_state tmnt_audio_map
tmnt_state punkshot_audio_map
tmnt_state lgtnfght_audio_map
tmnt_state glfgreat_audio_map
tmnt_state ssriders_audio_map
tmnt_state thndrx2_audio_map
tmnt_state prmrsocr_audio_map
ts802_state ts802_mem
ts802_state ts802_io
gticlub_state gticlub_map
gticlub_state hangplt_map
gticlub_state sound_memmap
gticlub_state sharc_map
gticlub_state hangplt_sharc0_map
gticlub_state hangplt_sharc1_map
wrally_state mcu_hostmem_map
wrally_state wrally_map
wrally_state oki_map
mystwarr_state mystwarr_map
mystwarr_state metamrph_map
mystwarr_state viostorm_map
mystwarr_state martchmp_map
mystwarr_state dadandrn_map
mystwarr_state gaiapols_map
mystwarr_state mystwarr_sound_map
mystwarr_state martchmp_sound_map
mystwarr_state mystwarr_k054539_map
acefruit_state acefruit_map
acefruit_state acefruit_io
itech32_state timekill_map
itech32_state bloodstm_map
itech32_state drivedge_map
itech32_state drivedge_tms1_map
itech32_state drivedge_tms2_map
itech32_state itech020_map
itech32_state sound_map
itech32_state sound_020_map
mod8_state mod8_mem
mod8_state mod8_io
madmotor_state madmotor_map
madmotor_state sound_map
g627_state mem_map
g627_state io_map
ax80_state ax80_map
photon_state pk8000_mem
photon_state pk8000_io
konamigv_state konamigv_map
konamigv_state simpbowl_map
konamigv_state btchamp_map
konamigv_state kdeadeye_map
konamigv_state tmosh_map
k1003_state k1003_mem
k1003_state k1003_io
n64_mess_state n64_map
n64_mess_state n64dd_map
n64_mess_state rsp_map
hprot1_state i80c31_prg
hprot1_state i80c31_io
tickee_state tickee_map
tickee_state ghoshunt_map
tickee_state mouseatk_map
tickee_state rapidfir_map
tk2000_state apple2_map
tk2000_state inhbank_map
panicr_state panicr_map
jtc_state jtc_mem
jtces88_state jtc_es1988_mem
jtces23_state jtc_es23_mem
jtces40_state jtc_es40_mem
bnstars_state bnstars_map
bnstars_state bnstars_sound_map
x07_state x07_mem
x07_state x07_io
novag6502_state supercon_map
novag6502_state cforte_map
novag6502_state sforte_map
novag6502_state sexpert_map
trackfld_state main_map
trackfld_state yieartf_map
trackfld_state reaktor_map
trackfld_state reaktor_io_map
trackfld_state mastkin_map
trackfld_state wizzquiz_map
trackfld_state sound_map
trackfld_state hyprolyb_sound_map
trackfld_state vlm_map
hyprolyb_adpcm_device hyprolyb_adpcm_map
xor100_state xor100_mem
xor100_state xor100_io
strkzn_state main_mem
strkzn_state main_io
strkzn_state light_mem
strkzn_state light_io
asst128_state asst128_map
asst128_state asst128_io
tubep_state tubep_main_map
tubep_state tubep_main_portmap
tubep_state tubep_second_map
tubep_state tubep_second_portmap
tubep_state tubep_sound_map
tubep_state tubep_sound_portmap
tubep_state nsc_map
tubep_state rjammer_main_map
tubep_state rjammer_main_portmap
tubep_state rjammer_second_map
tubep_state rjammer_second_portmap
tubep_state rjammer_sound_map
tubep_state rjammer_sound_portmap
_3do_state _3do_mem
cxgz80_state ch2001_map
peoplepc_state peoplepc_map
peoplepc_state peoplepc_io
shootout_state shootout_map
shootout_state shootouj_map
shootout_state shootout_sound_map
missb2_state maincpu_map
missb2_state subcpu_map
missb2_state sound_map
softbox_state softbox_mem
softbox_state softbox_io
nds_state nds_arm7_map
nds_state nds_arm9_map
nds_state nds7_wram_map
nds_state nds9_wram_map
tmc600_state tmc600_map
tmc600_state tmc600_io_map
psikyo_state psikyo_map
psikyo_state s1945bl_oki_map
psikyo_state psikyo_bootleg_map
psikyo_state sngkace_map
psikyo_state sngkace_sound_map
psikyo_state sngkace_sound_io_map
psikyo_state gunbird_map
psikyo_state s1945jn_map
psikyo_state gunbird_sound_map
psikyo_state gunbird_sound_io_map
psikyo_state s1945_map
psikyo_state s1945_sound_io_map
funkybee_state funkybee_map
funkybee_state io_map
suna8_state hardhead_map
suna8_state hardhead_io_map
suna8_state rranger_map
suna8_state rranger_io_map
suna8_state brickzn11_map
suna8_state brickzn_map
suna8_state decrypted_opcodes_map
suna8_state brickzn_io_map
suna8_state hardhea2_map
suna8_state starfigh_map
suna8_state sparkman_map
suna8_state hardhead_sound_map
suna8_state hardhead_sound_io_map
suna8_state rranger_sound_map
suna8_state brickzn_sound_map
suna8_state brickzn_pcm_map
suna8_state brickzn_pcm_io_map
lwriter_state maincpu_map
tutor_state tutor_memmap
tutor_state pyuutajr_mem
tutor_state tutor_io
apricot_state apricot_mem
apricot_state apricot_io
esqmr_state mr_map
aim65_40_state aim65_40_mem
cgc7900_state cgc7900_mem
cgc7900_state keyboard_mem
sg1000_state sg1000_map
sg1000_state sg1000_io_map
sg1000_state omv_map
sg1000_state omv_io_map
sg1000_state sc3000_map
sg1000_state sc3000_io_map
sf7000_state sf7000_map
sf7000_state sf7000_io_map
pinkiri8_state pinkiri8_map
pinkiri8_state pinkiri8_io
atm_state atm_mem
atm_state atm_io
atm_state atm_switch
cubeqst_state m68k_program_map
cubeqst_state rotate_map
cubeqst_state line_sound_map
pgm3_state pgm3_map
d6809_state mem_map
kissp_state kissp_map
d400_state mem_map
cswat_state cswat_map
vp60_state mem_map
vp60_state io_map
vp60_state kbd_map
a5105_state a5105_mem
a5105_state a5105_io
a5105_state upd7220_map
dreambal_state dreambal_map
zn_state zn_map
zn_state coh1000c_map
zn_state qsound_map
zn_state qsound_portmap
zn_state coh1000ta_map
zn_state fx1a_sound_map
zn_state coh1000tb_map
zn_state coh1000w_map
zn_state coh1002e_map
zn_state psarc_snd_map
zn_state bam2_map
zn_state coh1000a_map
zn_state nbajamex_map
zn_state jdredd_map
zn_state coh1001l_map
zn_state atlus_snd_map
zn_state coh1002v_map
zn_state coh1002m_map
zn_state coh1002msnd_map
zn_state cbaj_z80_map
zn_state cbaj_z80_port_map
zn_state coh1002ml_link_map
zn_state coh1002ml_link_port_map
beathead_state main_map
mt735_state mt735_map
exidy440_state exidy440_map
suna16_state bssoccer_map
suna16_state uballoon_map
suna16_state sunaq_map
suna16_state bestbest_map
suna16_state bssoccer_sound_map
suna16_state uballoon_sound_map
suna16_state sunaq_sound_map
suna16_state bestbest_sound_map
suna16_state bssoccer_pcm_1_map
suna16_state bssoccer_pcm_2_map
suna16_state bssoccer_pcm_1_io_map
suna16_state bssoccer_pcm_2_io_map
suna16_state uballoon_pcm_1_map
suna16_state uballoon_pcm_1_io_map
suna16_state bestbest_pcm_1_map
suna16_state bestbest_pcm_1_iomap
alg_state overlay_512kb_map
alg_state a500_mem
alg_state main_map_r1
alg_state main_map_r2
alg_state main_map_picmatic
gomoku_state gomoku_map
qvt103_state mem_map
qvt103_state io_map
exp85_state exp85_mem
exp85_state exp85_io
supduck_state main_map
supduck_state sound_map
supduck_state oki_map
sm1800_state sm1800_mem
sm1800_state sm1800_io
mgames_state main_map
pico_base_state pico_mem
copera_state copera_mem
r2dtank_state r2dtank_main_map
r2dtank_state r2dtank_audio_map
arcadia_state arcadia_mem
imsai_state imsai_mem
imsai_state imsai_io
lastduel_state lastduel_map
lastduel_state madgear_map
lastduel_state sound_map
lastduel_state madgear_sound_map
neogeo_state neogeo_main_map
neogeo_state main_map_slot
aes_state aes_main_map
neogeo_state audio_map
neogeo_state audio_io_map
timelimt_state main_map
timelimt_state main_io_map
timelimt_state sound_map
timelimt_state sound_io_map
rallyx_state rallyx_map
rallyx_state io_map
rallyx_state jungler_map
igt_gameking_state igt_gameking_mem
carjmbre_state main_map
carjmbre_state sound_map
carjmbre_state sound_io_map
aceal_state main_map
ibm6580_state ibm6580_mem
ibm6580_state ibm6580_io
naomi_state naomi_map
naomi2_state naomi2_map
naomi_state naomi_port
atomiswave_state aw_map
atomiswave_state aw_port
dc_state dc_audio_map
multi16_state multi16_map
multi16_state multi16_io
peplus_state peplus_map
peplus_state peplus_iomap
zr107_state zr107_map
zr107_state jetwave_map
zr107_state sound_memmap
zr107_state k054539_map
zr107_state sharc_map
dct11em_state dct11em_mem
ironhors_state master_map
ironhors_state slave_map
ironhors_state slave_io_map
ironhors_state farwest_master_map
ironhors_state farwest_slave_map
tetrisp2_state tetrisp2_map
tetrisp2_state nndmseal_map
tetrisp2_state rockn1_map
tetrisp2_state rockn2_map
tetrisp2_state rocknms_main_map
tetrisp2_state rocknms_sub_map
stepstag_state stepstag_map
stepstag_state stepstag_sub_map
igs_fear_state igs_igs_fear_map
ufo_state ufo_map
ufo_state ufo_portmap
ufo_state ex_ufo21_portmap
ufo_state ex_ufo800_portmap
votrtnt_state _6802_mem
pangofun_state pcat_map
pangofun_state pcat_io
rmnimbus_state nimbus_mem
rmnimbus_state nimbus_io
rmnimbus_state nimbus_iocpu_mem
rmnimbus_state nimbus_iocpu_io
supbtime_state supbtime_map
supbtime_state chinatwn_map
supbtime_state tumblep_map
supbtime_state sound_map
wallc_state wallc_map
wallc_state unkitpkr_map
kopunch_state kopunch_map
kopunch_state kopunch_io_map
ssfindo_state ssfindo_map
ssfindo_state ppcar_map
ssfindo_state tetfight_map
grchamp_state main_map
grchamp_state main_portmap
grchamp_state sub_map
grchamp_state sub_portmap
grchamp_state sound_map
s6_state s6_main_map
s6_state s6_audio_map
splash_state splash_map
splash_state splash_sound_map
splash_state roldfrog_map
splash_state roldfrog_sound_map
splash_state roldfrog_sound_io_map
funystrp_state funystrp_map
splash_state funystrp_sound_map
funystrp_state funystrp_sound_io_map
gmaster_state gmaster_mem
starfire_state main_map
fgoal_state cpu_map
pengo_state pengo_map
pengo_state decrypted_opcodes_map
pengo_state jrpacmbl_map
gstream_state gstream_32bit_map
gstream_state gstream_io
gstream_state x2222_32bit_map
gstream_state x2222_io
ti74_state main_map
horizon_state horizon_mem
horizon_state horizon_io
victory_state main_map
victory_state main_io_map
vk100_state vk100_mem
vk100_state vk100_io
myb3k_state myb3k_map
myb3k_state myb3k_io
namcos11_state namcos11_map
namcos11_state rom8_map
namcos11_state rom8_64_map
namcos11_state ptblank2ua_map
namcos11_state c76_map
namcos11_state c76_io_map
meadows_state meadows_main_map
meadows_state bowl3d_main_map
meadows_state minferno_main_map
meadows_state minferno_data_map
meadows_state audio_map
solomon_state main_map
solomon_state sound_map
solomon_state sound_portmap
queen_state queen_map
queen_state queen_io
midtunit_state main_map
luckgrln_state mainmap
luckgrln_state _7smash_map
luckgrln_state portmap
luckgrln_state _7smash_io
astrafr_state astrafr_master_map
astrafr_state astrafr_master_alt_map
astrafr_state astra_map
astrafr_state astrafr_slave_map
sun4_state sun4_mem
sun4_state sun4c_mem
sun4_state type0space_map
sun4_state type1space_map
sun4_state type1space_s4_map
m57_state main_map
maxaflex_state a600xl_mem
nakajies_state nakajies_map
nakajies_state nakajies_io_map
twins_state twins_map
twins_state twins_io
twins_state twinsa_io
twins_state ramdac_map
twins_state spider_io
popper_state main_map
popper_state sub_map
tvcapcom_state gc_map
vp122_state mem_map
vp122_state io_map
vp122_state vram_map
adp_state skattv_mem
adp_state skattva_mem
adp_state quickjac_mem
adp_state funland_mem
adp_state fstation_mem
adp_state adp_hd63484_map
adp_state fashiong_hd63484_map
adp_state fstation_hd63484_map
adp_state ramdac_map
gamepock_state gamepock_mem
rambo_state rambo_prg_map
rambo_state rambo_data_map
rambo_state rambo_io_map
cischeat_state bigrun_map
cischeat_state cischeat_map
cischeat_state f1gpstar_map
cischeat_state wildplt_map
cischeat_state f1gpstr2_map
cischeat_state scudhamm_map
cischeat_state armchmp2_map
cischeat_state captflag_map
cischeat_state captflag_oki1_map
cischeat_state captflag_oki2_map
cischeat_state bigrun_map2
cischeat_state bigrun_map3
cischeat_state cischeat_map2
cischeat_state cischeat_map3
cischeat_state f1gpstar_map2
cischeat_state f1gpstar_map3
cischeat_state bigrun_sound_map
cischeat_state cischeat_sound_map
cischeat_state f1gpstar_sound_map
cischeat_state f1gpstr2_sound_map
cischeat_state f1gpstr2_io_map
wicat_state wicat_mem
wicat_state wicat_video_mem
wicat_state wicat_video_io
wicat_state wicat_wd1000_mem
wicat_state wicat_wd1000_io
cdc721_state mem_map
cdc721_state io_map
dcheese_state main_cpu_map
dcheese_state sound_cpu_map
dreamwld_state oki1_map
dreamwld_state oki2_map
dreamwld_state baryon_map
dreamwld_state dreamwld_map
mainsnk_state main_map
mainsnk_state sound_map
mainsnk_state sound_portmap
pet_state pet2001_mem
cbm8296_state cbm8296_mem
srmp5_state srmp5_mem
srmp5_state st0016_mem
srmp5_state st0016_io
konmedal_state medal_main
konmedal_state ddboy_main
konmedal_state shuriboy_main
ladybug_state ladybug_map
ladybug_state decrypted_opcodes_map
minivadr_state minivadr_map
palm_state palm_map
williams_state defender_map
williams_state defender_bankc000_map
williams_state williams_map
williams_state sinistar_map
blaster_state blaster_map
williams2_state williams2_common_map
williams2_state williams2_bank8000_map
williams2_state williams2_d000_ram_map
williams2_state williams2_d000_rom_map
williams_state defender_sound_map
williams_state sound_map
blaster_state sound_map_b
williams2_state williams2_sound_map
wink_state wink_map
wink_state wink_io
wink_state wink_sound_map
wink_state wink_sound_io
majorpkr_state map
majorpkr_state palettebanks
majorpkr_state vrambanks
majorpkr_state portmap
tunhunt_state main_map
groundfx_state groundfx_map
pc8801_state pc8801_mem
pc8801_state pc8801_io
pc8801_state pc8801fdc_mem
pc8801_state pc8801fdc_io
csplayh5_state csplayh5_map
csplayh5_state csplayh5_sub_map
csplayh5_state csplayh5_sub_io_map
kurukuru_state kurukuru_map
kurukuru_state kurukuru_io
kurukuru_state ppj_map
kurukuru_state ppj_io
kurukuru_state kurukuru_audio_map
kurukuru_state kurukuru_audio_io
kurukuru_state ppj_audio_map
kurukuru_state ppj_audio_io
pg685_state pg675_mem
pg685_state pg685_mem
pg685_state pg685oua12_mem
lockon_state main_v30
lockon_state ground_v30
lockon_state object_v30
lockon_state sound_prg
lockon_state sound_io
zerozone_state main_map
zerozone_state sound_map
modellot_state mem_map
modellot_state io_map
sspeedr_state sspeedr_map
sspeedr_state sspeedr_io_map
pacland_state main_map
pacland_state mcu_map
pacland_state mcu_port_map
chinagat_state main_map
chinagat_state sub_map
chinagat_state sound_map
chinagat_state ym2203c_sound_map
chinagat_state saiyugoub1_sound_map
chinagat_state i8748_map
divebomb_state divebomb_fgcpu_map
divebomb_state divebomb_fgcpu_iomap
divebomb_state divebomb_spritecpu_map
divebomb_state divebomb_spritecpu_iomap
divebomb_state divebomb_rozcpu_map
divebomb_state divebomb_rozcpu_iomap
gts1_state gts1_map
gts1_state gts1_data
gts1_state gts1_io
tek440x_state maincpu_map
tek440x_state fdccpu_map
macrossp_state macrossp_map
macrossp_state macrossp_sound_map
bmcpokr_state bmcpokr_mem
bmcpokr_state mjmaglmp_map
bmcpokr_state ramdac_map
gundealr_state base_map
gundealr_state gundealr_main_map
gundealr_state yamyam_main_map
gundealr_state main_portmap
st_state ikbd_map
st_state ikbd_io_map
st_state st_map
megast_state megast_map
ste_state ste_map
megaste_state megaste_map
stbook_state stbook_map
fp_state fp_mem
fp_state fp_io
fp_state sound_mem
fp_state sound_io
clcd_state clcd_banked_mem
clcd_state clcd_mem
himesiki_state himesiki_prm0
himesiki_state himesiki_iom0
himesiki_state himesiki_prm1
himesiki_state himesiki_iom1
cdi_state cdimono1_mem
cdi_state cdimono2_mem
cdi_state cdi910_mem
cdi_state cdimono2_servo_mem
cdi_state cdimono2_slave_mem
cdi_state mcu_io_map
special_state specialist_mem
special_state specialp_mem
special_state erik_mem
special_state erik_io_map
special_state specimx_mem
alphatp_12_state alphatp2_mem
alphatp_12_state alphatp2_map
alphatp_12_state alphatp2_io
alphatp_34_state alphatp3_mem
alphatp_34_state alphatp3_map
alphatp_34_state alphatp3_io
metlfrzr_state metlfrzr_map
metlfrzr_state decrypted_opcodes_map
aerofgt_state pspikes_map
aerofgt_state pspikesb_map
aerofgt_state spikes91_map
aerofgt_state pspikesc_map
aerofgt_state kickball_map
aerofgt_state karatblz_map
aerofgt_state karatblzbl_map
aerofgt_state spinlbrk_map
aerofgt_state turbofrc_map
aerofgt_state aerofgtb_map
aerofgt_state aerofgt_map
aerofgt_state aerfboot_map
aerofgt_state aerfboo2_map
aerofgt_state wbbc97_map
aerofgt_state sound_map
aerofgt_state spinlbrk_sound_portmap
aerofgt_state turbofrc_sound_portmap
aerofgt_state aerofgt_sound_portmap
aerofgt_state aerfboot_sound_map
aerofgt_state wbbc97_sound_map
aerofgt_state karatblzbl_sound_map
aerofgt_state karatblzbl_sound_portmap
aerofgt_state kickball_sound_map
aerofgt_state kickball_sound_portmap
aerofgt_state oki_map
timeplt_state timeplt_main_map
timeplt_state psurge_main_map
timeplt_state chkun_main_map
tcl_state tcl_map
hyhoo_state hyhoo_map
hyhoo_state hyhoo_io_map
smsbootleg_state sms_supergame_map
smsbootleg_state sms_supergame_io
capr1_state cspin2_map
digijet_state io_map
brkthru_state brkthru_map
brkthru_state darwin_map
brkthru_state sound_map
i7000_state i7000_mem
i7000_state i7000_io
imds2_state ipc_mem_map
imds2_state ipc_io_map
imds2_state ioc_mem_map
imds2_state ioc_io_map
spectra_state spectra_map
tv990_state tv990_mem
deniam_state deniam16b_map
deniam_state sound_map
deniam_state sound_io_map
deniam_state deniam16c_map
legionna_state legionna_cop_mem
legionna_state legionna_map
legionna_state heatbrl_map
legionna_state godzilla_map
legionna_state denjinmk_map
legionna_state grainbow_map
legionna_state cupsoc_mem
legionna_state cupsocs_mem
tumbleb_state tumblepopb_main_map
tumbleb_state fncywld_main_map
tumbleb_state htchctch_main_map
tumbleb_state suprtrio_main_map
tumbleb_state pangpang_main_map
tumbleb_state semicom_sound_map
tumbleb_state suprtrio_sound_map
tumbleb_state jumpkids_main_map
